year,winner_name,loser_name
2005,Jiri Vanek,Fabrice Santoro
2005,Gilles Simon,Jose Acasuso
2005,Juan Monaco,Davide Sanguinetti
2005,Florian Mayer,Bohdan Ulihrach
2005,Mariano Puerta,Tomas Behrend
2005,Nicolas Almagro,Lars Burgsmuller
2005,Marc Gicquel,Michal Mertinak
2005,Arnaud Clement,Luis Horna
2005,Gilles Muller,Jean Rene Lisnard
2005,Janko Tipsarevic,Olivier Mutis
2005,Jarkko Nieminen,Victor Hanescu
2005,Filippo Volandri,Younes El Aynaoui
2005,Tomas Zib,Santiago Ventura
2005,Christophe Rochus,David Sanchez
2005,Gilles Simon,Jiri Vanek
2005,Juan Monaco,Florian Mayer
2005,Mariano Puerta,Nicolas Almagro
2005,Arnaud Clement,Marc Gicquel
2005,Gilles Muller,Janko Tipsarevic
2005,Filippo Volandri,Jarkko Nieminen
2005,Tomas Zib,Christophe Rochus
2005,Juan Monaco,Gilles Simon
2005,Mariano Puerta,Arnaud Clement
2005,Filippo Volandri,Gilles Muller
2005,Juan Monaco,Tomas Zib
2005,Mariano Puerta,Filippo Volandri
2005,Mariano Puerta,Juan Monaco
2005,Roger Federer,David Ferrer
2005,Greg Rusedski,Jan Hernych
2005,Uros Vico,Nicolas Mahut
2005,Feliciano Lopez,Filippo Volandri
2005,Sebastien Grosjean,Gilles Muller
2005,Hyung Taik Lee,Sergiy Stakhovsky
2005,Karol Beck,Igor Andreev
2005,Nikolay Davydenko,Ivo Karlovic
2005,Ivan Ljubicic,Stanislas Wawrinka
2005,Marc Lopez,Bohdan Ulihrach
2005,Fernando Verdasco,Mohammed Abdulla
2005,Rafael Nadal,Mikhail Youzhny
2005,Marco Chiudinelli,Andrei Pavel
2005,Albert Costa,David Sanchez
2005,Fabrice Santoro,Thomas Johansson
2005,Gael Monfils,Gaston Gaudio
2005,Roger Federer,Greg Rusedski
2005,Feliciano Lopez,Uros Vico
2005,Sebastien Grosjean,Hyung Taik Lee
2005,Nikolay Davydenko,Karol Beck
2005,Ivan Ljubicic,Marc Lopez
2005,Rafael Nadal,Fernando Verdasco
2005,Albert Costa,Marco Chiudinelli
2005,Fabrice Santoro,Gael Monfils
2005,Roger Federer,Feliciano Lopez
2005,Nikolay Davydenko,Sebastien Grosjean
2005,Ivan Ljubicic,Rafael Nadal
2005,Albert Costa,Fabrice Santoro
2005,Roger Federer,Nikolay Davydenko
2005,Ivan Ljubicic,Albert Costa
2005,Roger Federer,Ivan Ljubicic
2005,Victor Hanescu,Tomas Zib
2005,Carlos Moya,Filippo Volandri
2005,Tim Henman,Taylor Dent
2005,Jose Acasuso,Mikhail Youzhny
2005,Karol Beck,Nicolas Kiefer
2005,Sebastien Grosjean,Feliciano Lopez
2005,Agustin Calleri,Albert Costa
2005,Max Mirnyi,Juan Carlos Ferrero
2005,Alberto Martin,Jiri Novak
2005,Olivier Rochus,Tomas Berdych
2005,Fernando Verdasco,Paul Henri Mathieu
2005,Christophe Rochus,Gael Monfils
2005,Jurgen Melzer,Vincent Spadea
2005,Juan Ignacio Chela,Nicolas Massu
2005,Tommy Haas,Andrei Pavel
2005,Ivo Karlovic,Greg Rusedski
2005,Rafael Nadal,Victor Hanescu
2005,Tommy Robredo,Carlos Moya
2005,Radek Stepanek,Tim Henman
2005,Jose Acasuso,Gaston Gaudio
2005,Nikolay Davydenko,Karol Beck
2005,Robby Ginepri,Sebastien Grosjean
2005,David Ferrer,Agustin Calleri
2005,Mariano Puerta,Max Mirnyi
2005,Ivan Ljubicic,Alberto Martin
2005,Olivier Rochus,Mario Ancic
2005,Fernando Gonzalez,Fernando Verdasco
2005,Guillermo Coria,Christophe Rochus
2005,David Nalbandian,Jurgen Melzer
2005,Thomas Johansson,Juan Ignacio Chela
2005,Dominik Hrbaty,Tommy Haas
2005,Ivo Karlovic,Andy Roddick
2005,Rafael Nadal,Tommy Robredo
2005,Radek Stepanek,Jose Acasuso
2005,Robby Ginepri,Nikolay Davydenko
2005,David Ferrer,Mariano Puerta
2005,Ivan Ljubicic,Olivier Rochus
2005,Fernando Gonzalez,Guillermo Coria
2005,David Nalbandian,Thomas Johansson
2005,Ivo Karlovic,Dominik Hrbaty
2005,Rafael Nadal,Radek Stepanek
2005,Robby Ginepri,David Ferrer
2005,Ivan Ljubicic,Fernando Gonzalez
2005,David Nalbandian,Ivo Karlovic
2005,Rafael Nadal,Robby Ginepri
2005,Ivan Ljubicic,David Nalbandian
2005,Rafael Nadal,Ivan Ljubicic
2005,Roger Federer,Dudi Sela
2005,Nicolas Almagro,Philipp Kohlschreiber
2005,Tomas Behrend,Christophe Rochus
2005,Fernando Gonzalez,Michael Llodra
2005,Janko Tipsarevic,Dominik Hrbaty
2005,Fernando Vicente,Hugo Armando
2005,Robin Vik,Kevin Kim
2005,Carlos Moya,Alberto Martin
2005,David Nalbandian,Marcos Baghdatis
2005,Tomas Berdych,Jeff Morrison
2005,Oscar Hernandez,Daniel Gimeno Traver
2005,Mario Ancic,Marcos Daniel
2005,Juan Ignacio Chela,Rainer Schuettler
2005,Victor Hanescu,Michal Tabara
2005,Luis Horna,Jerome Haehnel
2005,Tim Henman,Juan Pablo Brzezicki
2005,Rafael Nadal,Lars Burgsmuller
2005,Xavier Malisse,Mardy Fish
2005,Peter Wessels,Ricardo Mello
2005,Richard Gasquet,Daniele Bracciali
2005,Sebastien Grosjean,Juan Monaco
2005,Davide Sanguinetti,Thierry Ascione
2005,Florent Serra,Andrei Pavel
2005,Radek Stepanek,Paradorn Srichaphan
2005,Robin Soderling,Fernando Verdasco
2005,Hyung Taik Lee,Alex Calatrava
2005,Olivier Patience,Gilles Simon
2005,David Ferrer,Jiri Vanek
2005,Jiri Novak,Bjorn Phau
2005,Felix Mantilla,Tomas Zib
2005,Dmitry Tursunov,Stefan Koubek
2005,Gaston Gaudio,Julien Benneteau
2005,Guillermo Coria,Kenneth Carlsen
2005,Novak Djokovic,Robby Ginepri
2005,Jurgen Melzer,Wayne Arthurs
2005,Mikhail Youzhny,Gilles Muller
2005,Tommy Haas,Florian Mayer
2005,Vincent Spadea,Albert Costa
2005,Olivier Rochus,Guillermo Garcia Lopez
2005,Nikolay Davydenko,Sasa Tuksar
2005,Tommy Robredo,Peter Luczak
2005,Dick Norman,Jean Rene Lisnard
2005,David Sanchez,Gustavo Kuerten
2005,Thomas Johansson,Scott Draper
2005,Juan Carlos Ferrero,Karol Beck
2005,Jan Hernych,Fabrice Santoro
2005,Lukas Dlouhy,Thomas Enqvist
2005,Marat Safin,Raemon Sluiter
2005,Jarkko Nieminen,Andre Agassi
2005,Igor Andreev,Jonas Bjorkman
2005,Arnaud Clement,Alexander Popp
